f_alpha,alpha
0.5693367488959757,0.8087601770720954
0.6482242766019991,0.7921866448065435
0.7212442699470909,0.7749448187028881
0.7925757955599002,0.7558560871123603
0.8573462063333829,0.7358745626276407
0.9103072523490393,0.7166187062427745
0.948111527544242,0.699916694675827
0.9717837091198875,0.6865803496551923
0.9862276344401009,0.6752042502833526
0.9957909590353234,0.6624152054379047
1.0,0.6445957208647474
0.9934291025753152,0.6195780274320728
0.968994284666981,0.5873064158329891
0.9217545809479222,0.5495504942470382
0.8511725904021432,0.5091226845661563
0.7612588805520583,0.4690108067697825
0.6590706816688661,0.431694704143036
0.5525296900865095,0.39877755920355024
0.44852609283883105,0.3709411448987552
0.3518758622167516,0.348131513807205
0.23221957234430457,0.3232474058970072
