f_alpha,alpha,f_alpha_shuf,alpha_shuf,f_alpha_surrogate,alpha_surrogate
0.5836429242208574,0.7085234443028764,0.7132889024065854,0.6594071046123352,0.8546503379832728,0.5572635092756997
0.6945655967119986,0.6786899891079929,0.7867076314324888,0.639710285147762,0.8938720323699231,0.5467061932992314
0.7951020655183489,0.6478000661754029,0.85256134848125,0.6194639254630198,0.9295557731422953,0.5357439951624472
0.8701831517421688,0.6205833188784972,0.9039182331858461,0.6008202427488767,0.9561325571980963,0.5261037576367339
0.9235958459638254,0.5969321359783535,0.9421759483891687,0.5838566514052541,0.9749472526222709,0.5177701690504389
0.9601566777528419,0.5761177558977597,0.9692676711579523,0.5684197423485391,0.9874708134038399,0.5106463847356468
0.9835160289808033,0.5575058867585038,0.9870167827175613,0.5542690300635893,0.9950662287469929,0.5046090392385103
0.996164338009393,0.5407428940283384,0.9968944873117391,0.5411593312145905,0.9989112565400038,0.4995373093385257
1.0,0.5256792677768787,1.0,0.5288637620281069,1.0,0.49532029414551815
0.9967006311658879,0.5122297485887105,0.9970921745326214,0.5171620460866264,0.9991606556588399,0.4918517402605679
0.987707571810805,0.5001893642512354,0.9885875244185347,0.5058199845771274,0.9970574763556941,0.4890203931365717
0.973647705521619,0.488967861748819,0.9745243956474232,0.49458148520486706,0.9941709949574614,0.4867019019368898
0.9531653473909127,0.47735233525660625,0.9545575372702224,0.48318873797033646,0.9907672021179168,0.48475584893204116
0.9221167907240748,0.4636741112050978,0.9280769081517827,0.4714353690181869,0.9868740225387347,0.4830293148435552
0.8750938886853807,0.44667297763879543,0.8945100568148636,0.45923896024446503,0.9822827392189905,0.48136633788561045
0.80962487939061,0.4265560465000496,0.8537562907910106,0.4466995840422712,0.9765841229153311,0.4796208707012184
0.7381946816663785,0.40731619232140137,0.8073763745325149,0.43430810629639516,0.9695830403924859,0.4777563514072247
