q,h(q),h(q) shuffled
-3.0,0.5953211594732534,0.561428497902225
-2.5,0.5839235214157655,0.5538256132562345
-2.0,0.5729627920387939,0.5466442866323066
-1.5,0.5625308398597993,0.5397725827226525
-1.0,0.5526280709911079,0.5330877290460153
-0.5,0.5431400614500167,0.5264715773387428
0.0,0.5338255941610087,0.519818717195303
0.5,0.5243311193765275,0.5130408372121624
1.0,0.514246292290062,0.5060699740951765
1.5,0.503202732471871,0.4988618419009028
2.0,0.49099259682361884,0.49139931035871093
2.5,0.47765620879302356,0.4836952611395091
3.0,0.46348594073276816,0.47579338827870343
